Category,IRLED,REDLED,HEARTRATE,OXYGEN,FEATURE1,FEATURE2,FEATURE3
ppg,0.1913684471724687,0.2424616373441653,86.0,97.0,0.051093190171696584,0.00957333175952571,0.010786726327718626
ppg,0.184397097891173,0.2344315188557525,86.0,97.0,0.050034420964579496,0.006971349281295697,0.008030118488412785
ppg,0.1795858850068985,0.2285587456328834,86.0,97.0,0.04897286062598488,0.004811212884274496,0.00587277322286911
ppg,0.1769839025286684,0.226760957911597,86.0,97.0,0.04977705538292859,0.002601982478230097,0.0017977877212863869
ppg,0.1769839025286684,0.226760957911597,86.0,97.0,0.04977705538292859,0.0,0.0
ppg,0.1771802785647613,0.2262815478525873,86.0,97.0,0.049101269287826016,0.0001963760360928768,0.00047941005900969946
ppg,0.1791931329347129,0.2279594830591212,86.0,97.0,0.0487663501244083,0.0020128543699516055,0.0016779352065338926
ppg,0.1827769955934071,0.2314352059869417,86.0,97.0,0.0486582103935346,0.0035838626586942035,0.0034757229278205015
ppg,0.1877845845137744,0.2375476842393157,86.0,97.0,0.0497630997255413,0.00500758892036729,0.006112478252373987
ppg,0.1943140877138612,0.2425814898589177,86.0,97.0,0.04826740214505651,0.0065295032000868,0.005033805619602011
ppg,0.2001071807785999,0.2494130831998062,86.0,97.0,0.049305902421206305,0.0057930930647387135,0.006831593340888509
ppg,0.2076676581681741,0.2570836441439617,86.0,97.0,0.049415985975787585,0.007560477389574188,0.007670560944155469
ppg,0.2151299475397018,0.2645145000586124,86.0,97.0,0.04938455251891058,0.007462289371527708,0.0074308559146507025
ppg,0.22244495488416,0.2717056509437581,86.0,97.0,0.0492606960595981,0.0073150073444581964,0.007191150885145714
ppg,0.2314291585354073,0.2805747370354379,86.0,97.0,0.049145578500030596,0.008984203651247302,0.008869086091679801
ppg,0.2399224220964224,0.2905224957598896,86.0,97.0,0.05060007366346719,0.008493263561015096,0.009947758724451694
ppg,0.2480720275942751,0.2979533516745402,86.0,97.0,0.04988132408026508,0.008149605497852708,0.0074308559146505915
ppg,0.2552888469206868,0.3056239126186957,86.0,97.0,0.050335065698008885,0.007216819326411716,0.0076705609441555245
ppg,0.2622111021929593,0.3120959484153269,86.0,97.0,0.04988484622236761,0.006922255272272471,0.0064720357966311926
ppg,0.2685442293569532,0.3177290166086912,86.0,97.0,0.04918478725173797,0.0063331271639939235,0.005633068193364288
ppg,0.273650006295367,0.323002527257798,86.0,97.0,0.04935252096243098,0.005105776938413797,0.005273510649106805
ppg,0.2764974588187131,0.3262385451561136,86.0,97.0,0.049741086337400486,0.0028474525233461168,0.003236017898315624
ppg,0.2801304154864306,0.3305532356872011,86.0,97.0,0.05042282020077049,0.0036329566677174574,0.004314690531087462
ppg,0.1943140877138612,0.2411432596818886,84.0,97.0,0.04682917196802741,0.0858163277725694,0.08940997600531247
ppg,0.2012854369951569,0.2495329357145586,84.0,97.0,0.04824749871940168,0.0069713492812957245,0.00838967603266999
ppg,0.2083058802854758,0.2573233491734665,84.0,97.0,0.04901746888799069,0.007020443290318895,0.007790413458907908
ppg,0.2160136397021196,0.2642747950291075,84.0,97.0,0.04826115532698791,0.0077077594166437835,0.006951445855641003
ppg,0.2242123392089955,0.2732637336355397,84.0,97.0,0.04905139442654419,0.008198699506875906,0.008988938606432184
ppg,0.2324110387158714,0.2811739996092001,84.0,97.0,0.04876296089332868,0.008198699506875906,0.007910265973660402
