Category,IRLED,REDLED,HEARTRATE,OXYGEN,FEATURE1,FEATURE2,FEATURE3
ppg,0.3372903902664653,0.3377395282429958,118.0,94.0,0.00044913797653051146,0.0010662010687366719,0.0018857934754201167
ppg,0.3383565913352021,0.3398686499087929,118.0,94.0,0.0015120585735908243,0.0010662010687367829,0.0021291216657970957
ppg,0.3394459706880418,0.3418761074794015,118.0,94.0,0.002430136791359727,0.0010893793528397033,0.002007457570608606
ppg,0.3394459706880418,0.3418761074794015,118.0,94.0,0.002430136791359727,0.0,0.0
ppg,0.3402803889157488,0.3440052291451984,118.0,94.0,0.0037248402294495775,0.0008344182277070233,0.0021291216657968737
ppg,0.3413465899844856,0.3453435341922708,118.0,94.0,0.003996944207785236,0.0010662010687367829,0.0013383050470724411
ppg,0.3417637990983391,0.3465601751441549,118.0,94.0,0.004796376045815787,0.00041720911385351167,0.0012166409518840626
ppg,0.3428995350193848,0.3482634724767924,118.0,94.0,0.005363937457407597,0.0011357359210457108,0.0017032973326375211
ppg,0.3435021704060621,0.3485676327147634,118.0,94.0,0.005065462308701252,0.0006026353866773193,0.000304160237970974
ppg,0.3442206972132543,0.350270930047401,118.0,94.0,0.006050232834146685,0.0007185268071921991,0.0017032973326376322
ppg,0.3447306194635197,0.3513659069040966,118.0,94.0,0.006635287440576898,0.00050992225026536,0.001094976856695573
ppg,0.345333254850197,0.3522783876180096,118.0,94.0,0.006945132767812612,0.0006026353866773193,0.0009124807139130331
ppg,0.3459590685209773,0.3525825478559806,118.0,94.0,0.0066234793350032906,0.0006258136707802953,0.000304160237970974
ppg,0.3460749599414922,0.3525825478559806,118.0,94.0,0.006507587914488411,0.00011589142051487977,0.0
ppg,0.3466544170440664,0.3533733644747052,118.0,94.0,0.0067189474306387775,0.0005794571025742323,0.0007908166187245991
ppg,0.3471643392943319,0.3541641810934298,118.0,94.0,0.006999841799097906,0.000509922250265471,0.0007908166187245991
ppg,0.3471643392943319,0.3533733644747052,118.0,94.0,0.0062090251803733065,0.0,0.0007908166187245991
ppg,0.3475120135558765,0.3538600208554588,118.0,94.0,0.006348007299582292,0.0003476742615446393,0.00048665638075362505
ppg,0.3473265872830526,0.3534341965222993,118.0,94.0,0.006107609239246692,0.00018542627282391866,0.00042582433315951906
ppg,0.3472338741466407,0.353312532427111,118.0,94.0,0.006078658280470328,9.271313641190382e-05,0.00012166409518826748
ppg,0.347048447873817,0.3531908683319225,118.0,94.0,0.00614242045810548,0.00018542627282369661,0.00012166409518854504
ppg,0.3477669746810092,0.353312532427111,118.0,94.0,0.005545557746101826,0.0007185268071921991,0.00012166409518854504
ppg,0.3476974398287003,0.3506967543805603,119.0,93.0,0.0029993145518599773,6.953485230887235e-05,0.0026157780465507208
ppg,0.3475120135558765,0.3503317620949952,119.0,93.0,0.002819748539118705,0.00018542627282380764,0.00036499228556508
ppg,0.3475351918399794,0.3502100979998068,119.0,93.0,0.002674906159827406,2.3178284102864932e-05,0.00012166409518843402
ppg,0.3477206181128033,0.3500276018570242,119.0,93.0,0.002306983744220892,0.00018542627282391866,0.00018249614278259552
ppg,0.3483696100676865,0.3510009146185314,119.0,93.0,0.0026313045508448707,0.0006489919548832157,0.0009733127615071946
ppg,0.3486709277610252,0.3517308991896618,119.0,93.0,0.003059971428636621,0.0003013176933386874,0.0007299845711304376
ppg,0.3488563540338489,0.351791731237256,119.0,93.0,0.0029353772034070857,0.00018542627282369661,6.08320475941615e-05
ppg,0.3489722454543638,0.351487570999285,119.0,93.0,0.002515325544921232,0.00011589142051487977,0.000304160237970974
ppg,0.3491576717271876,0.3519742273800386,119.0,93.0,0.002816555652850994,0.00018542627282380764,0.00048665638075356954
ppg,0.3491576717271876,0.3519742273800386,119.0,93.0,0.002816555652850994,0.0,0.0
ppg,0.3493894545682173,0.3522783876180096,119.0,93.0,0.0028889330497923194,0.00023178284102970403,0.00030416023797102953
ppg,0.349690772261556,0.3523392196656038,119.0,93.0,0.0026484474040477934,0.0003013176933386874,6.08320475941615e-05
ppg,0.3498993768184827,0.352400051713198,119.0,93.0,0.0025006748947152824,0.00020860455692672808,6.083204759421701e-05
ppg,0.3502006945118213,0.3522783876180096,119.0,93.0,0.0020776931061883275,0.0003013176933385764,0.00012166409518837851
ppg,0.3500616248072035,0.3522783876180096,119.0,93.0,0.0022167628108061277,0.00013906970461780022,0.0
ppg,0.3482305403630686,0.3494192813810822,119.0,93.0,0.0011887410180135838,0.0018310844441348784,0.0028591062369274223
ppg,0.3446842628953137,0.3447352137163288,119.0,93.0,5.0950821015138814e-05,0.0035462774677549325,0.0046840676647533774
ppg,0.3401876757793369,0.3391386653376625,119.0,93.0,0.0010490104416743806,0.00449658711597678,0.0055965483786662995
ppg,0.3374758165392891,0.3354279104344163,119.0,93.0,0.002047906104872821,0.002711859240047798,0.0037107549032462384
ppg,0.3353202361177126,0.3332987887686193,119.0,93.0,0.0020214473490933194,0.002155580421576486,0.0021291216657969847
ppg,0.3344162830376966,0.3326296362450832,119.0,93.0,0.0017866467926134222,0.0009039530800160067,0.0006691525235361095
ppg,0.3338831825033282,0.3306830107220687,119.0,93.0,0.003200171781259531,0.0005331005343683914,0.0019466255230145002
ppg,0.3338831825033282,0.3312304991504166,119.0,93.0,0.0026526833529116334,0.0,0.0005474884283478976
ppg,0.3344394613217996,0.3313521632456049,119.0,93.0,0.0030872980761946778,0.0005562788184713674,0.000121664095188323
ppg,0.3349957401402709,0.3321429798643295,119.0,93.0,0.0028527602759413906,0.0005562788184713119,0.0007908166187245991
ppg,0.3363864371864494,0.3339679412921555,119.0,93.0,0.0024184958942938817,0.0013906970461785018,0.0018249614278260107
ppg,0.3374989948233921,0.3351237501964453,119.0,93.0,0.002375244626946771,0.0011125576369426793,0.00115580890428979
ppg,0.3460517816573892,0.3454651982874593,118.0,93.0,0.0005865833699298939,0.008552786833997128,0.010341448091014005
ppg,0.34621402964611,0.3448568778115172,118.0,93.0,0.0013571518345927847,0.00016224798872077617,0.0006083204759421146
ppg,0.3407207763137054,0.3411461229082711,119.0,93.0,0.0004253465945657231,0.00549325333240458,0.003710754903246072
ppg,0.3419955819393688,0.3424235959077493,119.0,93.0,0.00042801396838049177,0.0012748056256634,0.0012774729994781686
ppg,0.3425286824737373,0.3431535804788796,119.0,93.0,0.0006248980051423159,0.0005331005343685025,0.0007299845711303266
ppg,0.3467934867486843,0.3450393739542999,118.0,93.0,0.0017541127943844215,0.0042648042749470205,0.0018857934754202832
ppg,0.3472802307148467,0.3454651982874593,118.0,93.0,0.0018150324273873975,0.000486743966162384,0.00042582433315940804
ppg,0.3474888352717735,0.3454651982874593,118.0,93.0,0.002023636984314181,0.0002086045569267836,0.0
ppg,0.3484855014882013,0.3465601751441549,118.0,93.0,0.0019253263440464075,0.0009966662164277995,0.001094976856695573
ppg,0.3484855014882013,0.3465601751441549,118.0,93.0,0.0019253263440464075,0.0,0.0
ppg,0.3487172843292311,0.3469859994773142,118.0,93.0,0.0017312848519169255,0.00023178284102981506,0.000425824333159297
ppg,0.3487172843292311,0.3469859994773142,118.0,93.0,0.0017312848519169255,0.0,0.0
ppg,0.3487172843292311,0.3469859994773142,118.0,93.0,0.0017312848519169255,0.0,0.0
ppg,0.3486477494769222,0.3467426712869374,118.0,93.0,0.0019050781899847546,6.953485230892786e-05,0.00024332819037675701
ppg,0.3487172843292311,0.3459518546682129,118.0,93.0,0.002765429661018226,6.953485230892786e-05,0.0007908166187245436
ppg,0.3486477494769222,0.345708526477836,118.0,93.0,0.0029392229990861662,6.953485230892786e-05,0.00024332819037686804
ppg,0.3487172843292311,0.3455868623826476,118.0,93.0,0.003130421946583528,6.953485230892786e-05,0.00012166409518843402
ppg,0.3491344934430846,0.3456476944302418,118.0,93.0,0.003486799012842823,0.00041720911385351167,6.083204759421701e-05
ppg,0.3495517025569382,0.3459518546682129,118.0,93.0,0.003599847888725305,0.0004172091138535672,0.00030416023797108505
ppg,0.349621237409247,0.3464993430965606,118.0,93.0,0.0031218943126863907,6.953485230881684e-05,0.000547488428347731
ppg,0.34964441569335,0.346316846953778,118.0,93.0,0.003327568739571962,2.3178284102975955e-05,0.00018249614278259552
ppg,0.3500384465231005,0.3467426712869374,118.0,93.0,0.00329577523616309,0.0003940308297505357,0.00042582433315940804
ppg,0.3504556556369541,0.347533487905662,118.0,93.0,0.002922167731292058,0.0004172091138535672,0.0007908166187245991
ppg,0.3507106167620868,0.3474118238104736,118.0,93.0,0.0032987929516132275,0.0002549611251327355,0.00012166409518843402
ppg,0.3512205390123522,0.3480809763340098,118.0,93.0,0.003139562678342367,0.00050992225026536,0.0006691525235362206
ppg,0.351382787001073,0.3477159840484446,118.0,93.0,0.0036668029526283896,0.00016224798872083168,0.00036499228556519103
ppg,0.3516841046944116,0.3483243045243866,118.0,93.0,0.0033598001700249625,0.0003013176933385764,0.0006083204759420036
ppg,0.3520549572400593,0.3492976172858938,118.0,93.0,0.002757339954165494,0.0003708525456477263,0.0009733127615071946
ppg,0.3528430188995603,0.34996676980943,118.0,93.0,0.002876249090130345,0.0007880616595010159,0.0006691525235361651
ppg,0.3533992977180316,0.350879250523343,118.0,93.0,0.0025200471946885683,0.0005562788184712564,0.0009124807139130331
ppg,0.3537469719795763,0.3516700671420676,118.0,93.0,0.002076904837508664,0.00034767426154469483,0.0007908166187245991
ppg,0.3541641810934298,0.351487570999285,118.0,93.0,0.0026766100941447712,0.00041720911385351167,0.00018249614278259552
ppg,0.3327938031504885,0.3177866166320984,118.0,93.0,0.015007186518390114,0.021370377942941277,0.03370095436718662
ppg,0.3294793085237634,0.313406709205316,118.0,93.0,0.0160725993184474,0.0033144946267251174,0.004379907426782403
ppg,0.3272773715339809,0.3113384195871133,118.0,93.0,0.01593895194686762,0.0022019369897824936,0.002068289618202712
ppg,0.3260721007606262,0.3095742902068815,118.0,93.0,0.01649781055374472,0.0012052707733546941,0.0017641293802317937
ppg,0.3255853567944639,0.3091484658737221,118.0,93.0,0.016436890920741798,0.0004867439661623285,0.00042582433315940804
ppg,0.3257476047831847,0.3100001145400409,118.0,93.0,0.015747490243143814,0.00016224798872083168,0.0008516486663188161
ppg,0.3260952790447292,0.3099392824924467,118.0,93.0,0.016155996552282503,0.0003476742615444728,6.083204759421701e-05
ppg,0.3267442709996125,0.3110950913967364,118.0,93.0,0.015649179602876095,0.0006489919548833267,0.0011558089042897346
ppg,0.3279263634888641,0.3123725643962147,118.0,93.0,0.015553799092649423,0.0011820924892516071,0.0012774729994782796
ppg,0.3279263634888641,0.3123725643962147,118.0,93.0,0.015553799092649423,0.0,0.0
ppg,0.3289925645576009,0.313406709205316,118.0,93.0,0.015585855352284905,0.0010662010687367829,0.0010341448091013006
ppg,0.3304527964560882,0.3156574949663014,118.0,93.0,0.014795301489786805,0.0014602318984873186,0.0022507857609854187
ppg,0.3316812455135459,0.317360792298939,118.0,93.0,0.014320453214606899,0.00122844905745767,0.0017032973326375767
ppg,0.3327010900140766,0.318577433250823,118.0,93.0,0.014123656763253611,0.00101984450053072,0.0012166409518840071
ppg,0.333211012264342,0.3190032575839824,118.0,93.0,0.014207754680359619,0.0005099222502654155,0.00042582433315940804
ppg,0.3339295390715342,0.3195507460123302,118.0,93.0,0.014378793059204031,0.0007185268071921991,0.0005474884283477865
ppg,0.3346480658787263,0.3203415626310548,118.0,93.0,0.01430650324767152,0.0007185268071920881,0.0007908166187245991
ppg,0.3350189184243739,0.3208890510594026,118.0,93.0,0.014129867364971349,0.00037085254564761527,0.0005474884283477865
ppg,0.3352275229813007,0.3213757074401562,118.0,93.0,0.013851815541144508,0.0002086045569267836,0.00048665638075362505
ppg,0.3361546543454196,0.3224098522492575,118.0,93.0,0.013744802096162079,0.0009271313641188716,0.0010341448091013006
ppg,0.3366182200274791,0.3226531804396343,118.0,93.0,0.013965039587844785,0.0004635656820595191,0.00024332819037681253
ppg,0.3370586074254356,0.323443997058359,118.0,93.0,0.013614610367076563,0.0004403873979564876,0.0007908166187247101
ppg,0.3374758165392891,0.32374815729633,118.0,93.0,0.0137276592429591,0.00041720911385351167,0.000304160237970974
ppg,0.3373831034028772,0.3235656611535474,118.0,93.0,0.013817442249329792,9.271313641190382e-05,0.00018249614278259552
ppg,0.3377075993803188,0.3230790047727938,118.0,93.0,0.014628594607525025,0.00032449597744160785,0.00048665638075362505
ppg,0.3375917079598039,0.3225923483920402,118.0,93.0,0.014999359567763715,0.00011589142051487977,0.00048665638075356954
ppg,0.3378698473690396,0.3226531804396343,118.0,93.0,0.015216666929405265,0.00027813940923565594,6.083204759410599e-05
ppg,0.3369427160049207,0.3178474486796926,118.0,93.0,0.019095267325228094,0.0009271313641188716,0.0048057317599417
ppg,0.3373599251187742,0.3172391282037506,118.0,93.0,0.02012079691502361,0.00041720911385351167,0.0006083204759420036
ppg,0.3374526382551861,0.3174216243465332,118.0,93.0,0.020031013908652917,9.271313641190382e-05,0.00018249614278259552
ppg,0.3379625605054516,0.3184557691556346,118.0,93.0,0.019506791349816976,0.000509922250265471,0.0010341448091014116
ppg,0.3381943433464813,0.318577433250823,118.0,93.0,0.019616910095658302,0.00023178284102970403,0.00012166409518837851
ppg,0.3384261261875109,0.3192465857743592,118.0,93.0,0.019179540413151674,0.000231782841029593,0.0006691525235362206
ppg,0.3393300792675269,0.320098234440678,118.0,93.0,0.01923184482684892,0.0009039530800160067,0.0008516486663187606
ppg,0.3396545752449686,0.3206457228690258,118.0,93.0,0.019008852375942797,0.0003244959774417189,0.0005474884283478421
ppg,0.3402108540634399,0.3214365394877504,118.0,93.0,0.01877431457568951,0.0005562788184713119,0.0007908166187245991
ppg,0.3402108540634399,0.3214365394877504,118.0,93.0,0.01877431457568951,0.0,0.0
ppg,0.3407207763137054,0.3221056920112867,118.0,93.0,0.018615084302418705,0.000509922250265471,0.0006691525235362761
ppg,0.3413929465526916,0.3227140124872286,119.0,93.0,0.018678934065463004,0.0006721702389861917,0.0006083204759418925
ppg,0.3419260470870599,0.3239306534391126,119.0,93.0,0.017995393647947333,0.0005331005343683359,0.0012166409518840071
ppg,0.3421346516439866,0.324052317534301,119.0,93.0,0.01808233410968557,0.00020860455692667257,0.00012166409518843402
ppg,0.3424823259055313,0.3244173098198662,119.0,93.0,0.018065016085665075,0.00034767426154469483,0.00036499228556519103
ppg,0.3423664344850164,0.3235048291059532,119.0,93.0,0.01886160537906323,0.00011589142051487977,0.0009124807139130331
ppg,0.3421810082121926,0.3217406997257214,119.0,93.0,0.020440308486471215,0.00018542627282380764,0.0017641293802317937
ppg,0.3414393031208976,0.321314875392562,119.0,93.0,0.020124427728335614,0.0007417050912950085,0.00042582433315940804
ppg,0.3391446529947032,0.317360792298939,119.0,93.0,0.021783860695764212,0.0022946501261943975,0.003954083093622995
ppg,0.3346480658787263,0.3123117323486205,119.0,93.0,0.022336333530105834,0.004496587115976891,0.005049059950318513
ppg,0.3293865953873515,0.3055593750656643,119.0,93.0,0.023827220321687215,0.00526147049137482,0.006752357282956201
ppg,0.3248900082713747,0.3001453228297805,119.0,93.0,0.024744685441594194,0.00449658711597678,0.0054140522358837595
ppg,0.3217609399174733,0.2958262474505924,119.0,93.0,0.025934692466880904,0.003129068353901421,0.004319075379188131
ppg,0.3201848165984712,0.2945487744511142,119.0,93.0,0.025636042147356985,0.0015761233190020874,0.0012774729994781686
ppg,0.3190954372456314,0.2935146296420128,119.0,93.0,0.025580807603618583,0.0010893793528398144,0.0010341448091014116
ppg,0.3190490806774255,0.2927846450708824,119.0,93.0,0.02626443560654307,4.63565682058964e-05,0.0007299845711303821
ppg,0.3180987710292036,0.2864581121210857,119.0,93.0,0.0316406589081179,0.0009503096482219031,0.006326532949796737
ppg,0.3190954372456314,0.2875530889777813,119.0,93.0,0.03154234826785007,0.0009966662164277995,0.0010949768566956286
ppg,0.3201616383143682,0.2888305619772595,119.0,93.0,0.03133107633710874,0.0010662010687368384,0.0012774729994781686
ppg,0.3206483822805306,0.2898038747387667,119.0,93.0,0.030844507541763933,0.000486743966162384,0.0009733127615071946
ppg,0.323777450634432,0.2999019946394038,119.0,93.0,0.02387545599502816,0.0031290683539013653,0.010098119900637137
ppg,0.3218768313379882,0.2909596836430564,119.0,93.0,0.030917147694931812,0.0019006192964437507,0.008942310996347402
ppg,0.3225026450087684,0.2919329964045636,119.0,93.0,0.030569648604204802,0.0006258136707801842,0.0009733127615071946
ppg,0.3230589238272398,0.2919329964045636,119.0,93.0,0.03112592742267617,0.0005562788184713674,0.0
ppg,0.3233138849523725,0.2919329964045636,119.0,93.0,0.031380888547808905,0.0002549611251327355,0.0
ppg,0.3236152026457112,0.2925413168805056,119.0,93.0,0.03107388576520559,0.0003013176933386874,0.0006083204759420036
ppg,0.3238933420549468,0.2925413168805056,119.0,93.0,0.03135202517444119,0.00027813940923560043,0.0
ppg,0.3244496208734182,0.2921154925473462,119.0,93.0,0.03233412832607202,0.0005562788184714229,0.00042582433315940804
ppg,0.3246814037144479,0.293271301451636,119.0,93.0,0.031410102262811934,0.00023178284102970403,0.00115580890428979
ppg,0.3247045819985509,0.2929063091660708,119.0,93.0,0.0317982728324801,2.3178284102975955e-05,0.00036499228556519103
ppg,0.3249827214077865,0.2928454771184766,119.0,93.0,0.03213724428930992,0.00027813940923560043,6.083204759421701e-05
ppg,0.3249827214077865,0.2928454771184766,119.0,93.0,0.03213724428930992,0.0,0.0
ppg,0.3250058996918895,0.2933321334992302,119.0,93.0,0.03167376619265927,2.3178284102975955e-05,0.00048665638075362505
ppg,0.3248900082713747,0.2924196527853172,119.0,93.0,0.032470355486057534,0.00011589142051476875,0.0009124807139130331
ppg,0.3250290779759925,0.292662980975694,119.0,93.0,0.03236609700029852,0.00013906970461780022,0.00024332819037681253
ppg,0.3257012482149788,0.2932104694040418,119.0,93.0,0.03249077881093704,0.0006721702389863027,0.0005474884283477865
ppg,0.3258403179195965,0.2930888053088534,119.0,93.0,0.032751512610743105,0.0001390697046176892,0.00012166409518837851
ppg,0.3265588447267888,0.2945487744511142,119.0,93.0,0.032010070275674596,0.0007185268071923101,0.0014599691422608196
ppg,0.3269992321247452,0.2949137667366794,119.0,93.0,0.03208546538806578,0.0004403873979563766,0.00036499228556519103
ppg,0.3272310149657749,0.2953395910698388,119.0,93.0,0.03189142389593608,0.00023178284102970403,0.00042582433315940804
ppg,0.3278336503524522,0.2958262474505924,119.0,93.0,0.03200740290185983,0.0006026353866773193,0.00048665638075356954
ppg,0.3279727200570701,0.2957654154029982,119.0,93.0,0.0322073046540719,0.00013906970461791124,6.08320475941615e-05
ppg,0.3281813246139969,0.2957654154029982,119.0,93.0,0.032415909210998683,0.0002086045569267836,0.0
ppg,0.3285985337278504,0.2955829192602156,119.0,93.0,0.03301561446763479,0.00041720911385351167,0.00018249614278259552
ppg,0.3290389211258069,0.2966778961169112,119.0,93.0,0.032361025008895705,0.0004403873979564876,0.001094976856695573
ppg,0.3295024868078663,0.2971645524976648,119.0,93.0,0.03233793431020149,0.00046356568205940807,0.00048665638075362505
ppg,0.3299428742058229,0.2980162011639836,118.0,93.0,0.031926673041839326,0.00044038739795659865,0.0008516486663187606
ppg,0.330591866160706,0.2987461857351139,118.0,93.0,0.031845680425592104,0.0006489919548831047,0.0007299845711303266
ppg,0.3135094707768149,0.2743525346498399,118.0,93.0,0.03915693612697502,0.017082395383891114,0.024393651085274026
ppg,0.3101717978659867,0.2700334592706518,118.0,93.0,0.04013833859533489,0.0033376729108282044,0.004319075379188075
ppg,0.3077612563192775,0.2678435055572606,118.0,93.0,0.03991775076201687,0.0024105415467092217,0.0021899537133912017
ppg,0.3059997067274516,0.2658968800342462,118.0,93.0,0.04010282669320536,0.001761549591825895,0.0019466255230143892
ppg,0.3049566839428178,0.2644369108919854,118.0,93.0,0.040519773050832375,0.001043022784633807,0.0014599691422608196
ppg,0.3048871490905089,0.2647410711299564,118.0,93.0,0.04014607796055253,6.953485230887235e-05,0.000304160237970974
ppg,0.3049566839428178,0.2646802390823622,118.0,93.0,0.04027644486045556,6.953485230887235e-05,6.08320475941615e-05
ppg,0.305628854181804,0.2644369108919854,118.0,93.0,0.04119194328981862,0.0006721702389862472,0.00024332819037681253
ppg,0.3065791638300258,0.2666876966529708,118.0,93.0,0.039891467177054996,0.0009503096482217921,0.0022507857609854187
ppg,0.3076917214669686,0.2672960171289128,118.0,93.0,0.04039570433805578,0.0011125576369427903,0.0006083204759420036
ppg,0.3091519533654559,0.2694859708423039,118.0,93.0,0.03966598252315201,0.0014602318984873186,0.0021899537133910907
ppg,0.3105890069798402,0.2705809476989996,118.0,93.0,0.04000805928084061,0.0014370536143842871,0.0010949768566956841
ppg,0.3105890069798402,0.2705809476989996,118.0,93.0,0.04000805928084061,0.0,0.0
ppg,0.311632029764474,0.2724667411744197,118.0,93.0,0.039165288590054304,0.001043022784633807,0.0018857934754201167
ppg,0.311632029764474,0.2724667411744197,118.0,93.0,0.039165288590054304,0.0,0.0
ppg,0.311632029764474,0.2724667411744197,118.0,93.0,0.039165288590054304,0.0,0.0
ppg,0.3129763702424465,0.2741092064594632,118.0,93.0,0.03886716378298333,0.0013443404779724943,0.0016424652850434707
ppg,0.3139498581747713,0.2747175269354052,118.0,93.0,0.03923233123936609,0.000973487932324768,0.0006083204759420036
ppg,0.3143207107204189,0.275265015363753,118.0,93.0,0.03905569535666592,0.00037085254564761527,0.0005474884283477865
ppg,0.3148538112547873,0.275873335839695,118.0,93.0,0.03898047541509231,0.0005331005343683914,0.0006083204759420036
ppg,0.3154100900732586,0.2770291447439847,118.0,93.0,0.038380945329273886,0.0005562788184713119,0.0011558089042897346
ppg,0.3161286168804508,0.2766641524584195,118.0,93.0,0.039464464422031276,0.0007185268071921991,0.00036499228556519103
ppg,0.3165690042784073,0.2775158011247384,118.0,93.0,0.03905320315366889,0.0004403873979564876,0.0008516486663188716
ppg,0.3171252830968787,0.2777591293151151,118.0,93.0,0.03936615378176361,0.0005562788184714229,0.0002433281903767015
ppg,0.3175193139266292,0.2777591293151151,118.0,93.0,0.03976018461151409,0.0003940308297504802,0.0
ppg,0.3177742750517619,0.2780024575054919,118.0,93.0,0.039771817546270016,0.0002549611251327355,0.00024332819037681253
ppg,0.3183073755861303,0.2791582664097817,118.0,93.0,0.03914910917634862,0.0005331005343683914,0.00115580890428979
ppg,0.3170093916763638,0.2722842450316372,119.0,93.0,0.044725146644726654,0.001297983909766487,0.006874021378144524
ppg,0.3173802442220114,0.2727709014123908,119.0,93.0,0.04460934280962059,0.00037085254564755976,0.00048665638075362505
ppg,0.3175888487789381,0.2725884052696082,119.0,93.0,0.04500044350932991,0.00020860455692672808,0.00018249614278259552
ppg,0.3173802442220114,0.2722842450316372,119.0,93.0,0.045095999190374214,0.00020860455692672808,0.00030416023797102953
ppg,0.3172411745173936,0.2711284361273474,119.0,93.0,0.046112738390046204,0.00013906970461780022,0.00115580890428979
ppg,0.3170789265286727,0.2702767874610286,119.0,93.0,0.04680213906764408,0.0001622479887208872,0.0008516486663187606
ppg,0.3166617174148192,0.2693643067471156,119.0,93.0,0.0472974106677036,0.00041720911385351167,0.0009124807139130331
ppg,0.3166385391307162,0.269181810604333,119.0,93.0,0.04745672852638322,2.3178284102975955e-05,0.00018249614278259552
ppg,0.3165458259943043,0.268573490128391,119.0,93.0,0.04797233586591332,9.271313641190382e-05,0.0006083204759420036
ppg,0.316777608835334,0.2683909939856084,119.0,93.0,0.04838661484972562,0.00023178284102970403,0.00018249614278259552
ppg,0.3169166785399519,0.26826932989042,119.0,93.0,0.04864734864953191,0.00013906970461791124,0.00012166409518837851
ppg,0.3171948179491876,0.2686951542235794,119.0,93.0,0.048499663725608155,0.00027813940923565594,0.00042582433315940804
ppg,0.3171484613809816,0.26826932989042,119.0,93.0,0.04887913149056161,4.635656820595191e-05,0.00042582433315940804
ppg,0.3175424922107322,0.2683301619380142,119.0,93.0,0.04921233027271804,0.00039403082975059123,6.08320475941615e-05
ppg,0.3178901664722768,0.2695468028898982,119.0,93.0,0.04834336358237862,0.0003476742615445838,0.0012166409518840071
ppg,0.3182610190179243,0.2696076349374924,119.0,93.0,0.048653384080431905,0.00037085254564750425,6.083204759421701e-05
ppg,0.3184928018589541,0.2705809476989996,119.0,93.0,0.047911854159954526,0.00023178284102981506,0.0009733127615071946
ppg,0.3184928018589541,0.2705809476989996,119.0,93.0,0.047911854159954526,0.0,0.0
ppg,0.3193040418025582,0.2713717643177242,119.0,93.0,0.04793227748483403,0.0008112399436041029,0.0007908166187245991
ppg,0.3190259023933225,0.270702611794188,119.0,93.0,0.04832329059913454,0.00027813940923571145,0.0006691525235362206
ppg,0.3179597013245857,0.2687559862711736,119.0,93.0,0.04920371505341209,0.0010662010687368384,0.0019466255230143892
ppg,0.3152710203686408,0.264619407034768,119.0,93.0,0.0506516133338728,0.0026886809559448777,0.004136579236405591
