Category,IRLED,REDLED,HEARTRATE,OXYGEN,FEATURE1,FEATURE2,FEATURE3
ppg,0.3522212312512389,0.3528880137481142,90.0,98.0,0.0006667824968752956,0.0011493506108734008,0.0008322830512926815
ppg,0.3533979473528475,0.3534428691156427,90.0,98.0,4.4921762795191444e-05,0.0011767161016086325,0.0005548553675285284
ppg,0.3541641810934298,0.3541641810934298,90.0,98.0,0.0,0.0007662337405822672,0.0007213119777870758
ppg,0.3540820846212245,0.3534428691156427,90.0,98.0,0.0006392155055817694,8.209647220530636e-05,0.0007213119777870758
ppg,0.3540820846212245,0.3534428691156427,90.0,98.0,0.0006392155055817694,0.0,0.0
ppg,0.3517012869272724,0.3513899042557873,90.0,98.0,0.00031138267148511645,0.0023807976939520525,0.0020529648598553996
ppg,0.345899802891435,0.3452310096762211,90.0,98.0,0.0006687932152139031,0.005801484035837412,0.006158894579566199
ppg,0.3366229015322422,0.3364088093325184,90.0,98.0,0.00021409219972384763,0.00927690135919279,0.008822200343702735
ppg,0.3259229946548252,0.328141464356344,90.0,98.0,0.002218469701518788,0.01069990687741701,0.008267344976174373
ppg,0.3161808799531361,0.3195412061596525,90.0,98.0,0.003360326206516384,0.00974211470168912,0.008600258196691524
ppg,0.3070955370290889,0.3122726008450294,90.0,98.0,0.005177063815940464,0.009085342924047168,0.007268605314623089
ppg,0.297763904688426,0.3053369087509234,90.0,98.0,0.0075730040624973904,0.009331632340662921,0.006935692094105994
ppg,0.288733292745849,0.2978463612892889,90.0,98.0,0.00911306854343985,0.009030611942576983,0.0074905474616345225
ppg,0.2798395082569473,0.2901893572173958,90.0,98.0,0.010349848960448493,0.008893784488901713,0.00765700407189307
ppg,0.27236872928627,0.2833646361967955,90.0,98.0,0.010995906910525544,0.0074707789706773275,0.006824721020600277
ppg,0.2655547220932346,0.2778715680582636,90.0,98.0,0.012316845965028966,0.006814007193035376,0.0054930681385319535
ppg,0.260355278853569,0.2734327251180357,90.0,98.0,0.013077446264466663,0.005199443239665591,0.004438842940227894
ppg,0.2565514756413927,0.2700481073761119,90.0,98.0,0.013496631734719211,0.0038038032121763266,0.003384617741923779
ppg,0.2537328300956792,0.2684945123470322,90.0,98.0,0.014761682251352992,0.002818645545713483,0.0015535950290797018
ppg,0.2525013830126005,0.2672183450017167,90.0,98.0,0.014716961989116206,0.0012314470830787072,0.0012761673453154931
ppg,0.2518719767256936,0.2664415474871768,90.0,98.0,0.014569570761483186,0.0006294062869068862,0.0007767975145399064
ppg,0.2524192865403953,0.2672183450017167,90.0,98.0,0.014799058461321402,0.0005473098147016908,0.0007767975145399064
ppg,0.2534591751883284,0.2684390268102793,90.0,98.0,0.014979851621950924,0.0010398886479330849,0.001220681808562607
ppg,0.2552379320861087,0.2698261652291006,90.0,98.0,0.014588233142991902,0.001778756897780287,0.0013871384188212654
ppg,0.3136085238240384,0.3067795327064975,88.0,98.0,0.006828991117540928,0.058370591737929745,0.036953367477396915
ppg,0.3052346836591033,0.2993999563183686,88.0,98.0,0.005834727340734702,0.008373840164935142,0.007379576388128917
ppg,0.2960398787721158,0.2912435824157,88.0,98.0,0.004796296356415819,0.009194804886987484,0.008156373902668601
ppg,0.2867082464314529,0.2833091506600427,88.0,98.0,0.0033990957714101766,0.009331632340662921,0.007934431755657279
ppg,0.2771303246741742,0.2755966610513968,88.0,98.0,0.0015336636227774036,0.009577921757278673,0.0077124896086459005
ppg,0.2672787480095448,0.2678841714427509,88.0,98.0,0.0006054234332060759,0.00985157666462938,0.0077124896086459005
ppg,0.2573724403634451,0.2592284277093066,88.0,98.0,0.0018559873458615095,0.009906307646099732,0.008655743733444299
ppg,0.2481776354764576,0.251404967027155,88.0,98.0,0.0032273315506973765,0.009194804886987484,0.007823460682151617
ppg,0.2398585262929927,0.2443028183227904,88.0,98.0,0.004444292029797708,0.008319109183464901,0.007102148704364569
ppg,0.2324151128130504,0.2373671262286844,88.0,98.0,0.004952013415633977,0.00744341347994229,0.006935692094106022
ppg,0.2324151128130504,0.2373671262286844,88.0,98.0,0.004952013415633977,0.0,0.0
